Región: Valparaiso
  partido: regional=27176, global=361125, ratio=0.0753
  chile: regional=22997, global=1028292, ratio=0.0224
  temuco: regional=20937, global=30049, ratio=0.6968
  contra: regional=18482, global=513132, ratio=0.0360
  región: regional=17740, global=382871, ratio=0.0463
  nacional: regional=17037, global=523528, ratio=0.0325
  equipo: regional=14934, global=269576, ratio=0.0554
  colo: regional=13390, global=274103, ratio=0.0489
  horas: regional=13297, global=374621, ratio=0.0355
  puntos: regional=13254, global=167177, ratio=0.0793
  tres: regional=13238, global=351837, ratio=0.0376
  mientras: regional=13183, global=391475, ratio=0.0337
  primera: regional=12971, global=346810, ratio=0.0374
  final: regional=12667, global=195199, ratio=0.0649
  lugar: regional=11922, global=346227, ratio=0.0344
  fecha: regional=11882, global=166704, ratio=0.0713
  triunfo: regional=11812, global=62820, ratio=0.1880
  estado: regional=11219, global=449259, ratio=0.0250

Región: Biobio
  concepción: regional=36378, global=58498, ratio=0.6219
  biobío: regional=27160, global=47778, ratio=0.5685
  región: regional=25250, global=382871, ratio=0.0659
  chile: regional=20519, global=1028292, ratio=0.0200
  personas: regional=16014, global=578017, ratio=0.0277
  ángeles: regional=15281, global=24433, ratio=0.6254
  contra: regional=13190, global=513132, ratio=0.0257
  carabineros: regional=13100, global=211240, ratio=0.0620
  caso: regional=12804, global=391855, ratio=0.0327
  tres: regional=12398, global=351837, ratio=0.0352
  nacional: regional=12152, global=523528, ratio=0.0232
  coronel: regional=12003, global=22096, ratio=0.5432
  vida: regional=11836, global=369216, ratio=0.0321
  regional: regional=11423, global=154172, ratio=0.0741
  lugar: regional=11375, global=346227, ratio=0.0329
  horas: regional=11284, global=374621, ratio=0.0301
  comuna: regional=11266, global=195129, ratio=0.0577
  estado: regional=11158, global=449259, ratio=0.0248
  momento: regional=10716, global=374819, ratio=0.0286
  gobierno: regional=10705, global=463458, ratio=0.0231

Región: Arica y Parinacota
  arica: regional=33252, global=49736, ratio=0.6686
  chile: regional=8845, global=1028292, ratio=0.0086
  región: regional=7105, global=382871, ratio=0.0186
  parinacota: regional=6462, global=9848, ratio=0.6562
  país: regional=5927, global=584321, ratio=0.0101
  regional: regional=5663, global=154172, ratio=0.0367
  personas: regional=5376, global=578017, ratio=0.0093
  nacional: regional=4870, global=523528, ratio=0.0093
  estado: regional=3937, global=449259, ratio=0.0088
  norte: regional=3846, global=108848, ratio=0.0353
  contra: regional=3811, global=513132, ratio=0.0074
  caso: regional=3710, global=391855, ratio=0.0095
  horas: regional=3627, global=374621, ratio=0.0097
  seguridad: regional=3447, global=325292, ratio=0.0106
  ciudad: regional=3394, global=152945, ratio=0.0222
  fiscalía: regional=3339, global=139659, ratio=0.0239
  servicio: regional=3135, global=201934, ratio=0.0155
  corte: regional=3110, global=125536, ratio=0.0248
  perú: regional=2986, global=77195, ratio=0.0387
  investigación: regional=2978, global=214234, ratio=0.0139

Región: Maule
  constitución: regional=25971, global=50858, ratio=0.5107
  chile: regional=18249, global=1028292, ratio=0.0177
  constitucional: regional=17132, global=78426, ratio=0.2184
  maule: regional=12561, global=26208, ratio=0.4793
  proceso: regional=11944, global=242994, ratio=0.0492
  estado: regional=11540, global=449259, ratio=0.0257
  contra: regional=11426, global=513132, ratio=0.0223
  presidente: regional=11260, global=441258, ratio=0.0255
  país: regional=11012, global=584321, ratio=0.0188
  gobierno: regional=10935, global=463458, ratio=0.0236
  nueva: regional=10825, global=311812, ratio=0.0347
  partido: regional=10448, global=361125, ratio=0.0289
  talca: regional=10262, global=16661, ratio=0.6159
  comisión: regional=10014, global=135868, ratio=0.0737
  región: regional=9400, global=382871, ratio=0.0246
  personas: regional=9359, global=578017, ratio=0.0162
  nacional: regional=9252, global=523528, ratio=0.0177
  propuesta: regional=8750, global=98142, ratio=0.0892
  proyecto: regional=8561, global=263495, ratio=0.0325
  curicó: regional=7539, global=12685, ratio=0.5943

Región: Magallanes
  magallanes: regional=36396, global=55167, ratio=0.6597
  punta: regional=26980, global=55497, ratio=0.4862
  arenas: regional=26477, global=39891, ratio=0.6637
  chile: regional=16858, global=1028292, ratio=0.0164
  región: regional=16536, global=382871, ratio=0.0432
  regional: regional=13285, global=154172, ratio=0.0862
  nacional: regional=12109, global=523528, ratio=0.0231
  personas: regional=9977, global=578017, ratio=0.0173
  puerto: regional=9502, global=126582, ratio=0.0751
  horas: regional=8586, global=374621, ratio=0.0229
  natales: regional=7481, global=10198, ratio=0.7336
  país: regional=7472, global=584321, ratio=0.0128
  primera: regional=7455, global=346810, ratio=0.0215
  trabajo: regional=7153, global=325041, ratio=0.0220
  millones: regional=7105, global=404703, ratio=0.0176
  proyecto: regional=6813, global=263495, ratio=0.0259
  tres: regional=6601, global=351837, ratio=0.0188
  estado: regional=6494, global=449259, ratio=0.0145
  presidente: regional=6464, global=441258, ratio=0.0146
  servicio: regional=6327, global=201934, ratio=0.0313

Región: Nuble
  ñuble: regional=7511, global=19072, ratio=0.3938
  chillán: regional=7405, global=12842, ratio=0.5766
  región: regional=5557, global=382871, ratio=0.0145
  chile: regional=3992, global=1028292, ratio=0.0039
  carlos: regional=3923, global=103335, ratio=0.0380
  bulnes: regional=3137, global=6317, ratio=0.4966
  nacional: regional=3035, global=523528, ratio=0.0058
  comuna: regional=2783, global=195129, ratio=0.0143
  será: regional=2292, global=281874, ratio=0.0081
  personas: regional=2289, global=578017, ratio=0.0040
  contra: regional=2285, global=513132, ratio=0.0045
  horas: regional=2122, global=374621, ratio=0.0057
  universidad: regional=2034, global=215500, ratio=0.0094
  país: regional=1899, global=584321, ratio=0.0032
  caso: regional=1883, global=391855, ratio=0.0048
  salud: regional=1860, global=276444, ratio=0.0067
  católica: regional=1789, global=54341, ratio=0.0329
  mientras: regional=1750, global=391475, ratio=0.0045
  tres: regional=1696, global=351837, ratio=0.0048
  lugar: regional=1696, global=346227, ratio=0.0049

Región: Atacama
  atacama: regional=13890, global=26269, ratio=0.5288
  copiapó: regional=9024, global=16292, ratio=0.5539
  chile: regional=8646, global=1028292, ratio=0.0084
  litio: regional=6161, global=30877, ratio=0.1995
  región: regional=5166, global=382871, ratio=0.0135
  nacional: regional=4800, global=523528, ratio=0.0092
  acuerdo: regional=4791, global=308333, ratio=0.0155
  codelco: regional=4775, global=23924, ratio=0.1996
  salar: regional=4083, global=7923, ratio=0.5153
  colo: regional=3705, global=274103, ratio=0.0135
  país: regional=3552, global=584321, ratio=0.0061
  educación: regional=3294, global=137193, ratio=0.0240
  estado: regional=3255, global=449259, ratio=0.0072
  proyecto: regional=3167, global=263495, ratio=0.0120
  presidente: regional=2866, global=441258, ratio=0.0065
  empresa: regional=2760, global=192011, ratio=0.0144
  millones: regional=2721, global=404703, ratio=0.0067
  deportes: regional=2685, global=72098, ratio=0.0372
  gobierno: regional=2677, global=463458, ratio=0.0058
  primera: regional=2404, global=346810, ratio=0.0069

Región: Aysen
  aysén: regional=6913, global=15477, ratio=0.4467
  región: regional=4092, global=382871, ratio=0.0107
  coyhaique: regional=3879, global=5801, ratio=0.6687
  chile: regional=2974, global=1028292, ratio=0.0029
  puerto: regional=2010, global=126582, ratio=0.0159
  nubosos: regional=1890, global=26578, ratio=0.0711
  lluvias: regional=1795, global=45297, ratio=0.0396
  cielos: regional=1777, global=27506, ratio=0.0646
  vientos: regional=1737, global=41976, ratio=0.0414
  regional: regional=1704, global=154172, ratio=0.0111
  nacional: regional=1608, global=523528, ratio=0.0031
  ráfagas: regional=1599, global=32503, ratio=0.0492
  temperaturas: regional=1566, global=53820, ratio=0.0291
  será: regional=1559, global=281874, ratio=0.0055
  índice: regional=1530, global=52087, ratio=0.0294
  humedad: regional=1514, global=35140, ratio=0.0431
  caso: regional=1353, global=391855, ratio=0.0035
  espera: regional=1335, global=150316, ratio=0.0089
  comuna: regional=1272, global=195129, ratio=0.0065
  investigación: regional=1179, global=214234, ratio=0.0055

